seqnames	start	end	width	strand	gene_id
1	1263346	1263386	41	-	ENSG00000160087
1	1266098	1266290	193	-	ENSG00000160087
1	1267733	1267857	125	-	ENSG00000160087
1	1286938	1286975	38	+	ENSG00000162572
1	1287109	1287299	191	+	ENSG00000162572
1	1287508	1287596	89	+	ENSG00000162572
1	1287673	1287836	164	+	ENSG00000162572
1	1287939	1288037	99	+	ENSG00000162572
1	1290271	1290388	118	+	ENSG00000162572
1	1290477	1290555	79	+	ENSG00000162572
1	1290637	1290694	58	+	ENSG00000162572
1	1290895	1290953	59	+	ENSG00000162572
1	1291065	1291140	76	+	ENSG00000162572
1	1291254	1291373	120	+	ENSG00000162572
1	1291611	1292029	419	+	ENSG00000162572
1	1292376	1293563	1188	-	ENSG00000131584
1	1300196	1300202	7	-	ENSG00000131584
1	1300509	1300692	184	-	ENSG00000131584
1	1301988	1302046	59	-	ENSG00000131584
1	1302922	1302975	54	-	ENSG00000131584
1	1303162	1303274	113	-	ENSG00000131584
1	1311380	1311677	298	+	ENSG00000169972
1	1311585	1311924	340	-	ENSG00000127054
1	1312018	1312147	130	-	ENSG00000127054
1	1312226	1312368	143	-	ENSG00000127054
1	1312440	1312501	62	-	ENSG00000127054
1	1312593	1312700	108	-	ENSG00000127054
1	1312787	1312949	163	-	ENSG00000127054
1	1313035	1313124	90	-	ENSG00000127054
1	1313509	1313592	84	-	ENSG00000127054
1	1313732	1313921	190	-	ENSG00000127054
1	1314301	1314365	65	-	ENSG00000127054
1	1314824	1314962	139	-	ENSG00000127054
1	1315404	1315438	35	-	ENSG00000127054
1	1315520	1315618	99	-	ENSG00000127054
1	1318679	1318854	176	-	ENSG00000127054
1	1319296	1319705	410	-	ENSG00000127054
1	1320456	1320637	182	-	ENSG00000127054
1	1320996	1321093	98	-	ENSG00000127054
1	1321908	1321984	77	-	ENSG00000127054
1	1322892	1323126	235	-	ENSG00000127054
1	1327764	1328897	1134	+	ENSG00000224051
1	1334465	1335306	842	+	ENSG00000169962
1	1335276	1336141	866	-	ENSG00000107404
1	1336412	1336515	104	-	ENSG00000107404
1	1337018	1337044	27	-	ENSG00000107404
1	1352689	1353603	915	-	ENSG00000162576
1	1373730	1373800	71	-	ENSG00000175756
1	1386482	1387582	1101	-	ENSG00000221978
1	1387777	1387869	93	-	ENSG00000221978
1	1387954	1388065	112	-	ENSG00000221978
1	1390230	1390371	142	-	ENSG00000221978
1	1390459	1390563	105	-	ENSG00000221978
1	1390766	1391537	772	-	ENSG00000221978
1	1392288	1392803	516	-	ENSG00000221978
1	1393396	1393460	65	-	ENSG00000221978
1	1395394	1395475	82	-	ENSG00000221978
1	1401908	1402082	175	-	ENSG00000242485
1	1402182	1402568	387	-	ENSG00000242485
1	1405109	1405616	508	-	ENSG00000242485
1	1418420	1419541	1122	-	ENSG00000235098
1	1437444	1437484	41	+	ENSG00000179403
1	1439081	1442882	3802	+	ENSG00000179403
1	1468531	1470158	1628	+	ENSG00000215915
1	1495818	1496202	385	+	ENSG00000160072
1	1534073	1534687	615	+	ENSG00000197785
1	1535174	1535358	185	-	ENSG00000205090
1	1539056	1539679	624	-	ENSG00000205090
1	1541673	1542065	393	-	ENSG00000160075
1	1560848	1564534	3687	-	ENSG00000160075
1	1598012	1599334	1323	-	ENSG00000228594
1	1623802	1623945	144	+	ENSG00000197530
1	1624795	1624901	107	+	ENSG00000197530
1	1624991	1625185	195	+	ENSG00000197530
1	1625286	1625428	143	+	ENSG00000197530
1	1625546	1625653	108	+	ENSG00000197530
1	1626454	1626754	301	+	ENSG00000197530
1	1626837	1626999	163	+	ENSG00000197530
1	1627056	1627207	152	+	ENSG00000197530
1	1627296	1627444	149	+	ENSG00000197530
1	1627673	1627829	157	+	ENSG00000197530
1	1628019	1628179	161	+	ENSG00000197530
1	1628273	1628399	127	+	ENSG00000197530
1	1628489	1628722	234	+	ENSG00000197530
1	1629133	1629311	179	+	ENSG00000197530
1	1629385	1629566	182	+	ENSG00000197530
1	1629639	1629704	66	+	ENSG00000197530
1	1630292	1630610	319	+	ENSG00000197530
1	1633478	1634099	622	+	ENSG00000189409
1	1634202	1634328	127	+	ENSG00000189409
1	1634451	1634474	24	+	ENSG00000189409
1	1634547	1634786	240	+	ENSG00000189409
1	1635159	1635263	105	+	ENSG00000189409
1	1635227	1635856	630	-	ENSG00000248333
1	1635937	1636126	190	-	ENSG00000248333
1	1636333	1636481	149	-	ENSG00000248333
1	1636682	1636798	117	-	ENSG00000248333
1	1636897	1637004	108	-	ENSG00000248333
1	1637081	1637202	122	-	ENSG00000248333
1	1637408	1637513	106	-	ENSG00000248333
1	1637762	1637883	122	-	ENSG00000248333
1	1638500	1638590	91	-	ENSG00000248333
1	1640277	1640452	176	-	ENSG00000248333
1	1641048	1641113	66	-	ENSG00000248333
1	1641662	1641798	137	-	ENSG00000248333
1	1659529	1660102	574	-	ENSG00000189339
1	1661478	1665781	4304	-	ENSG00000189339
1	1702730	1702999	270	-	ENSG00000008128
1	1703080	1703269	190	-	ENSG00000008128
1	1703476	1703624	149	-	ENSG00000008128
1	1703824	1703940	117	-	ENSG00000008128
1	1704039	1704146	108	-	ENSG00000008128
1	1704223	1704344	122	-	ENSG00000008128
1	1704550	1704655	106	-	ENSG00000008128
1	1704904	1705021	118	-	ENSG00000008128
1	1724840	1725413	574	-	ENSG00000215790
1	1727386	1732454	5069	-	ENSG00000215790
1	1751232	1752903	1672	-	ENSG00000008130
1	1752975	1753060	86	-	ENSG00000008130
1	1753567	1753632	66	-	ENSG00000008130
1	1754061	1754208	148	-	ENSG00000008130
1	1754284	1754383	100	-	ENSG00000008130
1	1754544	1754698	155	-	ENSG00000008130
1	1755374	1755476	103	-	ENSG00000008130
1	1756258	1756343	86	-	ENSG00000008130
1	1756503	1756608	106	-	ENSG00000008130
1	1756739	1756837	99	-	ENSG00000008130
1	1785285	1787053	1769	-	ENSG00000078369
1	1787322	1787330	9	-	ENSG00000078369
1	1917194	1917294	101	+	ENSG00000169885
1	1917590	1918162	573	-	ENSG00000178821
1	1918253	1918431	179	-	ENSG00000178821
1	1918893	1919040	148	-	ENSG00000178821
1	1921951	1922286	336	-	ENSG00000142609
1	1987962	1988123	162	-	ENSG00000142609
1	2023837	2023890	54	+	ENSG00000187730
1	2024942	2025054	113	+	ENSG00000187730
1	2025334	2025401	68	+	ENSG00000187730
1	2025518	2025738	221	+	ENSG00000187730
1	2027577	2027659	83	+	ENSG00000187730
1	2028155	2028292	138	+	ENSG00000187730
1	2029111	2029266	156	+	ENSG00000187730
1	2029551	2029762	212	+	ENSG00000187730
1	2029983	2030012	30	+	ENSG00000187730
1	2030207	2030758	552	+	ENSG00000187730
1	2135344	2135347	4	+	ENSG00000067606
1	2144210	2144341	132	+	ENSG00000067606
1	2146027	2146108	82	+	ENSG00000067606
1	2148872	2148924	53	+	ENSG00000067606
1	2150790	2150936	147	+	ENSG00000067606
1	2181862	2181914	53	+	ENSG00000067606
1	2184583	2184698	116	+	ENSG00000067606
1	2184922	2185395	474	+	ENSG00000067606
1	2184461	2185513	1053	-	ENSG00000162585
1	2186004	2186249	246	-	ENSG00000162585
1	2186838	2187206	369	-	ENSG00000162585
1	2189548	2189781	234	-	ENSG00000162585
1	2191901	2192857	957	-	ENSG00000162585
1	2306766	2310119	3354	+	ENSG00000157933
1	2321253	2321382	130	-	ENSG00000116151
1	2355175	2355447	273	-	ENSG00000116151
1	2374853	2379058	4206	-	ENSG00000116151
1	2379109	2379221	113	-	ENSG00000116151
1	2388004	2388227	224	-	ENSG00000116151
1	2402296	2402342	47	+	ENSG00000157916
1	2403035	2405444	2410	+	ENSG00000157916
1	2403964	2405765	1802	-	ENSG00000157911
1	2406518	2406619	102	-	ENSG00000157911
1	2406720	2406861	142	-	ENSG00000157911
1	2408604	2408858	255	-	ENSG00000157911
1	2410261	2410451	191	-	ENSG00000157911
1	2410630	2410758	129	-	ENSG00000157911
1	2503628	2505526	1899	+	ENSG00000149527
1	2508533	2509060	528	-	ENSG00000157881
1	2509793	2509930	138	-	ENSG00000157881
1	2510057	2510157	101	-	ENSG00000157881
1	2510678	2510733	56	-	ENSG00000157881
1	2514433	2514466	34	-	ENSG00000157881
1	2515258	2515320	63	-	ENSG00000157881
1	2519204	2519324	121	-	ENSG00000157881
1	2519801	2519954	154	-	ENSG00000157881
1	2520322	2520414	93	-	ENSG00000157881
1	2520723	2520906	184	-	ENSG00000157881
1	2521101	2521609	509	-	ENSG00000157881
1	2528745	2529468	724	-	ENSG00000197921
1	2561525	2561718	194	+	ENSG00000157873
1	2562869	2562896	28	+	ENSG00000157873
1	2563274	2563829	556	+	ENSG00000157873
1	2565053	2565382	330	+	ENSG00000157873
1	2589415	2591468	2054	+	ENSG00000157870
1	2590639	2591089	451	-	ENSG00000142606
1	2591557	2591633	77	-	ENSG00000142606
1	2591932	2592027	96	-	ENSG00000142606
1	2592655	2592720	66	-	ENSG00000142606
1	2592833	2592966	134	-	ENSG00000142606
1	2593814	2593873	60	-	ENSG00000142606
1	2635976	2641367	5392	-	ENSG00000215912
1	3022821	3022903	83	+	ENSG00000169717
1	3386697	3386918	222	+	ENSG00000142611
1	3433690	3438621	4932	+	ENSG00000142611
1	3480588	3481113	526	+	ENSG00000130762
1	3489920	3490527	608	-	ENSG00000162591
1	3490562	3490589	28	-	ENSG00000162591
1	3492639	3492767	129	-	ENSG00000162591
1	3493771	3493899	129	-	ENSG00000162591
1	3493996	3494124	129	-	ENSG00000162591
1	3494371	3494499	129	-	ENSG00000162591
1	3494613	3494741	129	-	ENSG00000162591
1	3495890	3495940	51	-	ENSG00000162591
1	3628604	3630127	1524	+	ENSG00000158109
1	3630767	3631397	631	-	ENSG00000116213
1	3731556	3731556	1	+	ENSG00000078900
1	3732747	3736201	3455	+	ENSG00000078900
1	3756808	3756890	83	+	ENSG00000162592
1	3761281	3761430	150	+	ENSG00000162592
1	3762620	3762712	93	+	ENSG00000162592
1	3762967	3763474	508	+	ENSG00000162592
1	3763706	3763836	131	+	ENSG00000162592
1	3766535	3766612	78	+	ENSG00000162592
1	3767233	3767445	213	+	ENSG00000162592
1	3769783	3769887	105	+	ENSG00000162592
1	3771401	3771645	245	+	ENSG00000162592
1	3775488	3775670	183	+	ENSG00000235169
1	3775922	3775982	61	+	ENSG00000235169
1	3778558	3781087	2530	-	ENSG00000130764
1	3781290	3781336	47	-	ENSG00000130764
1	3781512	3781601	90	-	ENSG00000130764
1	3782661	3782763	103	-	ENSG00000130764
1	3783770	3783811	42	-	ENSG00000130764
1	3812081	3815401	3321	-	ENSG00000116198
1	3816149	3816259	111	-	ENSG00000116198
1	3822776	3823143	368	-	ENSG00000116198
1	3843109	3843154	46	-	ENSG00000116198
1	3860491	3860506	16	+	ENSG00000169598
1	3865753	3866000	248	+	ENSG00000169598
1	3866284	3866398	115	+	ENSG00000169598
1	3867974	3868053	80	+	ENSG00000169598
1	3869605	3869775	171	+	ENSG00000169598
1	3872472	3872572	101	+	ENSG00000169598
1	3873045	3873137	93	+	ENSG00000169598
1	3883507	3885429	1923	+	ENSG00000169598
1	3889125	3889959	835	-	ENSG00000198912
1	4774500	4774558	59	+	ENSG00000196581
1	4777401	4777794	394	+	ENSG00000196581
1	4782545	4792534	9990	+	ENSG00000196581
1	5862813	5863405	593	-	ENSG00000131697
1	5863890	5864033	144	-	ENSG00000131697
1	5864338	5864517	180	-	ENSG00000131697
1	5865102	5865273	172	-	ENSG00000131697
1	5866373	5866458	86	-	ENSG00000131697
1	5867030	5867115	86	-	ENSG00000131697
1	5867740	5867896	157	-	ENSG00000131697
1	5873252	5873335	84	-	ENSG00000131697
1	5874471	5874657	187	-	ENSG00000131697
1	5874874	5875100	227	-	ENSG00000131697
1	5875954	5876078	125	-	ENSG00000131697
1	5876386	5876523	138	-	ENSG00000131697
1	5877093	5877298	206	-	ENSG00000131697
1	5879346	5879504	159	-	ENSG00000131697
1	5880114	5880239	126	-	ENSG00000131697
1	5886495	5886972	478	-	ENSG00000131697
1	5887286	5887466	181	-	ENSG00000131697
1	5888460	5888577	118	-	ENSG00000131697
1	5890868	5891028	161	-	ENSG00000131697
1	5904617	5904804	188	-	ENSG00000131697
1	5905292	5905483	192	-	ENSG00000131697
1	5905632	5905780	149	-	ENSG00000131697
1	5927649	5927787	139	-	ENSG00000131697
1	5933147	5933329	183	-	ENSG00000131697
1	5947104	5947230	127	-	ENSG00000131697
1	5948070	5948135	66	-	ENSG00000131697
1	6086050	6086363	314	+	ENSG00000069424
1	6097532	6098561	1030	+	ENSG00000069424
1	6098575	6101193	2619	+	ENSG00000069424
1	6101793	6105427	3635	-	ENSG00000116254
1	6106234	6106287	54	-	ENSG00000116254
1	6106395	6106509	115	-	ENSG00000116254
1	6106616	6106779	164	-	ENSG00000116254
1	6109795	6109990	196	-	ENSG00000116254
1	6110394	6110526	133	-	ENSG00000116254
1	6111775	6111883	109	-	ENSG00000116254
1	6112140	6112277	138	-	ENSG00000116254
1	6112909	6112998	90	-	ENSG00000116254
1	6121105	6121237	133	-	ENSG00000116254
1	6121494	6121573	80	-	ENSG00000116254
1	6123948	6124107	160	-	ENSG00000116254
1	6124517	6124661	145	-	ENSG00000116254
1	6125100	6125233	134	-	ENSG00000116254
1	6125524	6125612	89	-	ENSG00000116254
1	6125766	6125858	93	-	ENSG00000116254
1	6126572	6126746	175	-	ENSG00000116254
1	6128046	6128218	173	-	ENSG00000116254
1	6128499	6128609	111	-	ENSG00000116254
1	6128838	6129026	189	-	ENSG00000116254
1	6181269	6181467	199	-	ENSG00000116251
1	6185020	6186671	1652	-	ENSG00000116251
1	6219408	6221299	1892	+	ENSG00000158286
1	6221193	6225262	4070	-	ENSG00000116237
1	6231902	6232119	218	-	ENSG00000116237
1	6233474	6233643	170	-	ENSG00000116237
1	6234405	6234444	40	-	ENSG00000116237
1	6245508	6245578	71	+	ENSG00000173673
1	6247346	6249337	1992	-	ENSG00000158292
1	6264269	6264695	427	-	ENSG00000097021
1	6281102	6281286	185	-	ENSG00000097021
1	6282724	6282880	157	-	ENSG00000097021
1	6412418	6413192	775	-	ENSG00000069812
1	6415232	6419232	4001	-	ENSG00000069812
1	6456198	6456671	474	+	ENSG00000187017
1	6460147	6460944	798	+	ENSG00000187017
1	6461186	6461367	182	+	ENSG00000187017
1	6461151	6461762	612	-	ENSG00000215788
1	6461994	6462174	181	-	ENSG00000215788
1	6462629	6462666	38	-	ENSG00000215788
1	6462863	6462907	45	-	ENSG00000215788
1	6466092	6467572	1481	-	ENSG00000171680
1	6467825	6467842	18	-	ENSG00000171680
1	6521347	6525853	4507	-	ENSG00000162408
1	6578836	6579426	591	+	ENSG00000173662
1	6579585	6579757	173	+	ENSG00000173662
1	6588374	6588442	69	+	ENSG00000204859
1	6588756	6588844	89	+	ENSG00000204859
1	6588916	6589160	245	+	ENSG00000204859
1	6589213	6589280	68	+	ENSG00000204859
1	6590724	6595364	4641	-	ENSG00000162413
1	6621638	6624033	2396	+	ENSG00000116273
1	6630320	6630353	34	+	ENSG00000041988
1	6632391	6632495	105	+	ENSG00000041988
1	6632763	6633565	803	+	ENSG00000041988
1	6634089	6635586	1498	+	ENSG00000041988
1	6634168	6635674	1507	-	ENSG00000007923
1	6820213	6820250	38	+	ENSG00000171735
1	6825092	6825210	119	+	ENSG00000171735
1	6871757	6872038	282	+	ENSG00000171735
1	6886258	6886346	89	+	ENSG00000171735
1	6887654	6888188	535	+	ENSG00000171735
1	7766492	7769706	3215	+	ENSG00000171735
1	7779646	7781432	1787	+	ENSG00000049245
1	7803853	7803958	106	+	ENSG00000049246
1	7842756	7845177	2422	+	ENSG00000049246
1	7843083	7843942	860	-	ENSG00000049247
1	7847614	7847765	152	-	ENSG00000049247
1	7915894	7920834	4941	-	ENSG00000049249
1	7921800	7921980	181	-	ENSG00000049249
1	7933127	7933296	170	-	ENSG00000049249
1	7935013	7935143	131	-	ENSG00000049249
1	7936460	7936514	55	-	ENSG00000049249
1	7985055	7985505	451	+	ENSG00000116288
1	8004404	8004521	118	-	ENSG00000116285
1	8011719	8013209	1491	-	ENSG00000116285
1	8013427	8015269	1843	-	ENSG00000116285
1	8015308	8015366	59	-	ENSG00000116285
1	8344014	8344167	154	+	ENSG00000162426
1	8352397	8355086	2690	-	ENSG00000142599
1	8861000	8861359	360	-	ENSG00000074800
1	8866480	8866501	22	-	ENSG00000074800
1	8867117	8867250	134	-	ENSG00000074800
1	8867988	8868050	63	-	ENSG00000074800
1	8951704	8952651	948	+	ENSG00000131686
1	8974705	8975092	388	+	ENSG00000131686
1	9035107	9037585	2479	-	ENSG00000142583
1	9040080	9041620	1541	-	ENSG00000142583
1	9100305	9104418	4114	-	ENSG00000180758
1	9264870	9271337	6468	+	ENSG00000049239
1	9367576	9369532	1957	+	ENSG00000171621
1	9582502	9585179	2678	+	ENSG00000171612
1	9602292	9604954	2663	+	ENSG00000188807
1	9611759	9611890	132	+	ENSG00000188807
1	9612986	9614873	1888	+	ENSG00000188807
1	9727047	9729114	2068	+	ENSG00000171608
1	9729026	9730507	1482	-	ENSG00000171603
1	9848276	9850717	2442	-	ENSG00000178585
1	9922113	9922254	142	-	ENSG00000162441
1	9928939	9930398	1460	-	ENSG00000162441
1	9981300	9981766	467	+	ENSG00000173614
1	9982702	9985501	2800	+	ENSG00000173614
1	10004200	10004307	108	+	ENSG00000162444
1	10007570	10007748	179	+	ENSG00000162444
1	10008173	10008274	102	+	ENSG00000162444
1	10015782	10016020	239	+	ENSG00000162444
1	10072546	10073118	573	+	ENSG00000130939
1	10166265	10166342	78	+	ENSG00000130939
1	10168136	10168270	135	+	ENSG00000130939
1	10171138	10171189	52	+	ENSG00000130939
1	10179957	10181239	1283	+	ENSG00000130939
1	10304648	10308597	3950	+	ENSG00000054523
1	10376588	10381603	5016	+	ENSG00000054523
1	10400484	10400572	89	+	ENSG00000142657
1	10403071	10403136	66	+	ENSG00000142657
1	10404161	10404276	116	+	ENSG00000142657
1	10419750	10420144	395	+	ENSG00000142657
1	10434658	10434690	33	+	ENSG00000175279
1	10440347	10440413	67	+	ENSG00000175279
1	10442265	10442809	545	+	ENSG00000175279
1	10440385	10440413	29	+	ENSG00000251503
1	10442406	10442441	36	+	ENSG00000251503
1	10451377	10452153	777	+	ENSG00000251503
1	10451596	10451902	307	+	ENSG00000241563
1	10456522	10461489	4968	-	ENSG00000160049
1	10461643	10461702	60	-	ENSG00000160049
1	10462468	10463170	703	-	ENSG00000160049
1	10623133	10623286	154	+	ENSG00000142655
1	10629988	10630758	771	+	ENSG00000142655
1	10636604	10638941	2338	-	ENSG00000130940
1	10647213	10647796	584	-	ENSG00000130940
1	10946473	10946741	269	-	ENSG00000175262
1	10947643	10947662	20	-	ENSG00000175262
1	11016128	11016254	127	+	ENSG00000120948
1	11016844	11017007	164	+	ENSG00000120948
1	11018733	11018873	141	+	ENSG00000120948
1	11020429	11020599	171	+	ENSG00000120948
1	11022124	11026420	4297	+	ENSG00000120948
1	11023249	11023329	81	+	ENSG00000277726
1	11024064	11024335	272	+	ENSG00000277726
1	11025110	11025208	99	+	ENSG00000277726
1	11029687	11029781	95	+	ENSG00000277726
1	11030179	11030528	350	+	ENSG00000277726
1	11026523	11026884	362	-	ENSG00000009724
1	11044798	11044939	142	-	ENSG00000009724
1	11054589	11054874	286	-	ENSG00000116649
1	11056011	11056094	84	-	ENSG00000116649
1	11056604	11056757	154	-	ENSG00000116649
1	11058800	11058892	93	-	ENSG00000116649
1	11059225	11059265	41	-	ENSG00000116649
1	11066618	11066717	100	-	ENSG00000171824
1	11091503	11091597	95	-	ENSG00000171824
1	11095416	11095544	129	-	ENSG00000171824
1	11106535	11107484	950	-	ENSG00000198793
1	11195024	11195981	958	+	ENSG00000171819
1	11286132	11288434	2303	+	ENSG00000120942
1	11292145	11292147	3	+	ENSG00000120942
1	11293467	11293626	160	+	ENSG00000120942
1	11294873	11296049	1177	+	ENSG00000120942
1	11536656	11537584	929	+	ENSG00000204624
1	11637018	11637669	652	-	ENSG00000116661
1	11645050	11645205	156	-	ENSG00000116661
1	11648092	11648693	602	-	ENSG00000116661
1	11661274	11663327	2054	+	ENSG00000132879
1	11673852	11674354	503	+	ENSG00000116663
1	11674480	11674774	295	-	ENSG00000116670
1	11719697	11725857	6161	+	ENSG00000162490
1	11746118	11746223	106	+	ENSG00000177674
1	11747440	11747545	106	+	ENSG00000177674
1	11748415	11748610	196	+	ENSG00000177674
1	11750077	11750771	695	+	ENSG00000177674
1	11785723	11790898	5176	-	ENSG00000177000
1	11791207	11791326	120	-	ENSG00000177000
1	11791637	11791727	91	-	ENSG00000177000
1	11792278	11792379	102	-	ENSG00000177000
1	11793907	11794089	183	-	ENSG00000177000
1	11794358	11794538	181	-	ENSG00000177000
1	11794729	11794863	135	-	ENSG00000177000
1	11795098	11795348	251	-	ENSG00000177000
1	11796206	11796399	194	-	ENSG00000177000
1	11800212	11800309	98	-	ENSG00000177000
1	11789447	11789585	139	+	ENSG00000215910
1	11820385	11820779	395	+	ENSG00000011021
1	11838994	11839050	57	+	ENSG00000011021
1	11840224	11843144	2921	+	ENSG00000011021
1	11845709	11846008	300	-	ENSG00000175206
1	11857464	11857654	191	-	ENSG00000120937
1	11919591	11920314	724	-	ENSG00000116685
1	11922175	11922518	344	-	ENSG00000116685
1	11974809	11975537	729	+	ENSG00000083444
1	12011566	12013514	1949	+	ENSG00000116688
1	12031809	12032045	237	+	ENSG00000116691
1	12097206	12097217	12	+	ENSG00000120949
1	12104379	12104531	153	+	ENSG00000120949
1	12109566	12109656	91	+	ENSG00000120949
1	12110041	12110204	164	+	ENSG00000120949
1	12111898	12112014	117	+	ENSG00000120949
1	12115577	12115729	153	+	ENSG00000120949
1	12123284	12123377	94	+	ENSG00000120949
1	12123715	12123827	113	+	ENSG00000120949
1	12125951	12126052	102	+	ENSG00000120949
1	12126183	12126236	54	+	ENSG00000120949
1	12135588	12135613	26	+	ENSG00000120949
1	12138232	12138436	205	+	ENSG00000120949
1	12142287	12144207	1921	+	ENSG00000120949
1	12207021	12209228	2208	+	ENSG00000028137
1	12362727	12362850	124	+	ENSG00000048707
1	12363072	12363247	176	+	ENSG00000048707
1	12368468	12368591	124	+	ENSG00000048707
1	12369467	12369702	236	+	ENSG00000048707
1	12373750	12373788	39	+	ENSG00000048707
1	12402588	12402702	115	+	ENSG00000048707
1	12403825	12403948	124	+	ENSG00000048707
1	12453881	12453899	19	+	ENSG00000048707
1	12455998	12456130	133	+	ENSG00000048707
1	12460201	12460396	196	+	ENSG00000048707
1	12497500	12497631	132	+	ENSG00000048707
1	12506853	12507093	241	+	ENSG00000048707
1	12508893	12512047	3155	+	ENSG00000048707
1	12567910	12568339	430	-	ENSG00000162496
1	12666736	12667086	351	+	ENSG00000204518
1	12725997	12728400	2404	+	ENSG00000188984
1	12760952	12763699	2748	+	ENSG00000157330
1	12777600	12777906	307	+	ENSG00000116726
1	12795997	12796628	632	+	ENSG00000116721
1	12824605	12824941	337	-	ENSG00000239810
1	12861780	12861909	130	+	ENSG00000120952
1	12879224	12879543	320	-	ENSG00000243073
1	12892896	12892915	20	-	ENSG00000187545
1	12920414	12920482	69	+	ENSG00000204510
1	12938472	12938674	203	-	ENSG00000232423
1	13049476	13049807	332	-	ENSG00000274764
1	13062207	13062229	23	+	ENSG00000277058
1	13077553	13077884	332	+	ENSG00000229571
1	13115496	13115518	23	-	ENSG00000275774
1	13148905	13149236	332	-	ENSG00000280267
1	13179133	13179464	332	+	ENSG00000204505
1	13196330	13196822	493	-	ENSG00000279169
1	13222705	13223331	627	-	ENSG00000279804
1	13263112	13263314	203	+	ENSG00000270601
1	13281035	13281370	336	-	ENSG00000182330
1	13308888	13308907	20	+	ENSG00000237700
1	13322265	13322598	334	+	ENSG00000204501
1	13342366	13342527	162	-	ENSG00000204481
1	13392503	13392629	127	+	ENSG00000204479
1	13421259	13421328	70	+	ENSG00000204478
1	13474977	13475845	869	-	ENSG00000162494
1	13595841	13595984	144	+	ENSG00000162493
1	13607173	13607221	49	+	ENSG00000162493
1	13614318	13614405	88	+	ENSG00000162493
1	13614416	13614514	99	+	ENSG00000162493
1	13615905	13617957	2053	+	ENSG00000162493
1	13742040	13742157	118	+	ENSG00000116731
1	13749361	13749487	127	+	ENSG00000116731
1	13769118	13769173	56	+	ENSG00000116731
1	13773078	13773188	111	+	ENSG00000116731
1	13786515	13788079	1565	+	ENSG00000116731
1	13816548	13816570	23	+	ENSG00000116731
1	13823159	13825079	1921	+	ENSG00000116731
1	14304659	14304663	5	+	ENSG00000189337
1	15065798	15068155	2358	+	ENSG00000189337
1	15114636	15118043	3408	+	ENSG00000189337
1	15219394	15220480	1087	+	ENSG00000171729
1	15329577	15330059	483	+	ENSG00000142621
1	15383159	15384558	1400	+	ENSG00000142621
1	15388381	15388422	42	+	ENSG00000142621
1	15391210	15391263	54	+	ENSG00000142621
1	15397297	15398127	831	+	ENSG00000142621
1	15428721	15430343	1623	+	ENSG00000142634
1	15443463	15443555	93	+	ENSG00000162438
1	15445597	15445749	153	+	ENSG00000162438
1	15446575	15449242	2668	+	ENSG00000162438
1	15472008	15472091	84	+	ENSG00000142615
1	15490832	15493783	2952	-	ENSG00000132906
1	15493892	15494001	110	-	ENSG00000132906
1	15495273	15495452	180	-	ENSG00000132906
1	15504611	15504758	148	-	ENSG00000132906
1	15505990	15506079	90	-	ENSG00000132906
1	15506899	15507121	223	-	ENSG00000132906
1	15507873	15507897	25	-	ENSG00000132906
1	15491313	15491400	88	+	ENSG00000215704
1	15566191	15566595	405	+	ENSG00000116138
1	15567099	15567269	171	+	ENSG00000116138
1	15567778	15571733	3956	+	ENSG00000116138
1	15574779	15576092	1314	+	ENSG00000116138
