length_3utr	gene_id
2217	ENSG00000007314
2771	ENSG00000007341
777	ENSG00000007350
6337	ENSG00000007372
1813	ENSG00000007376
2690	ENSG00000007384
3200	ENSG00000007392
1867	ENSG00000007402
959	ENSG00000007516
506	ENSG00000007520
3557	ENSG00000007541
3863	ENSG00000007545
1447	ENSG00000007866
1884	ENSG00000007908
1507	ENSG00000007923
741	ENSG00000007933
1497	ENSG00000007944
628	ENSG00000007952
3450	ENSG00000007968
103	ENSG00000008018
1279	ENSG00000008056
1789	ENSG00000008083
10546	ENSG00000008086
936	ENSG00000008118
1180	ENSG00000008128
2621	ENSG00000008130
4221	ENSG00000008196
124	ENSG00000008197
1421	ENSG00000008226
3168	ENSG00000008256
7815	ENSG00000008277
1602	ENSG00000008282
2316	ENSG00000008283
4461	ENSG00000008294
1736	ENSG00000008300
1867	ENSG00000008311
377	ENSG00000008323
605	ENSG00000008324
356	ENSG00000008382
1628	ENSG00000008394
938	ENSG00000008405
85	ENSG00000008438
5487	ENSG00000008441
4916	ENSG00000008513
1628	ENSG00000008516
697	ENSG00000008517
6156	ENSG00000008710
772	ENSG00000008735
3356	ENSG00000008838
2730	ENSG00000008853
678	ENSG00000008869
6056	ENSG00000008952
2010	ENSG00000008988
1256	ENSG00000009307
2229	ENSG00000009335
10469	ENSG00000009413
4633	ENSG00000009694
4036	ENSG00000009709
504	ENSG00000009724
9497	ENSG00000009765
2777	ENSG00000009780
737	ENSG00000009790
3483	ENSG00000009830
6046	ENSG00000009844
1633	ENSG00000009950
1798	ENSG00000009954
864	ENSG00000010017
1002	ENSG00000010030
3188	ENSG00000010072
961	ENSG00000010165
2598	ENSG00000010219
12127	ENSG00000010244
1417	ENSG00000010256
766	ENSG00000010270
836	ENSG00000010278
88	ENSG00000010282
4444	ENSG00000010292
2764	ENSG00000010295
2278	ENSG00000010310
604	ENSG00000010318
3099	ENSG00000010319
1984	ENSG00000010322
139	ENSG00000010327
1465	ENSG00000010361
1367	ENSG00000010379
7150	ENSG00000010404
51	ENSG00000010438
1567	ENSG00000010539
2025	ENSG00000010610
1326	ENSG00000010626
710	ENSG00000010671
4117	ENSG00000010704
994	ENSG00000010803
1407	ENSG00000010810
1640	ENSG00000010818
2631	ENSG00000010932
2486	ENSG00000011007
1197	ENSG00000011009
3373	ENSG00000011021
1271	ENSG00000011028
237	ENSG00000011052
1644	ENSG00000011083
3800	ENSG00000011105
7752	ENSG00000011114
146	ENSG00000011132
2434	ENSG00000011143
5912	ENSG00000011198
4121	ENSG00000011201
1854	ENSG00000011243
5646	ENSG00000011258
754	ENSG00000011260
4940	ENSG00000011275
3183	ENSG00000011295
1995	ENSG00000011304
1916	ENSG00000011332
5131	ENSG00000011347
2259	ENSG00000011376
3650	ENSG00000011405
1500	ENSG00000011422
1800	ENSG00000011426
3096	ENSG00000011451
3880	ENSG00000011454
9617	ENSG00000011465
1135	ENSG00000011478
935	ENSG00000011485
5373	ENSG00000011523
1785	ENSG00000011566
698	ENSG00000011590
395	ENSG00000011600
1431	ENSG00000011638
1994	ENSG00000011677
7152	ENSG00000012048
2885	ENSG00000012061
3017	ENSG00000012124
473	ENSG00000012171
6152	ENSG00000012174
1719	ENSG00000012211
550	ENSG00000012223
3159	ENSG00000012232
1862	ENSG00000012504
1924	ENSG00000012660
1957	ENSG00000012779
580	ENSG00000012817
4579	ENSG00000012822
3159	ENSG00000012963
1886	ENSG00000012983
2743	ENSG00000013016
136	ENSG00000013275
5819	ENSG00000013288
7471	ENSG00000013293
1343	ENSG00000013297
806	ENSG00000013306
1031	ENSG00000013364
2734	ENSG00000013374
5050	ENSG00000013375
2660	ENSG00000013392
1250	ENSG00000013441
649	ENSG00000013503
3050	ENSG00000013523
2862	ENSG00000013561
1469	ENSG00000013563
3664	ENSG00000013573
2218	ENSG00000013583
5726	ENSG00000013588
2219	ENSG00000013619
1834	ENSG00000013725
1827	ENSG00000013810
1773	ENSG00000014123
3420	ENSG00000014138
707	ENSG00000014164
853	ENSG00000014216
2350	ENSG00000014257
516	ENSG00000014641
5795	ENSG00000014824
477	ENSG00000014914
2642	ENSG00000014919
4447	ENSG00000015133
8799	ENSG00000015153
2319	ENSG00000015171
265	ENSG00000015285
234	ENSG00000015413
1711	ENSG00000015475
2319	ENSG00000015479
1235	ENSG00000015520
2405	ENSG00000015532
3735	ENSG00000015568
2061	ENSG00000015592
6890	ENSG00000015676
1128	ENSG00000016082
5442	ENSG00000016391
2255	ENSG00000016402
244	ENSG00000016490
409	ENSG00000016602
908	ENSG00000016864
2959	ENSG00000017260
6994	ENSG00000017427
833	ENSG00000017483
5049	ENSG00000017797
3722	ENSG00000018189
3437	ENSG00000018236
3815	ENSG00000018280
3964	ENSG00000018408
6233	ENSG00000018510
1578	ENSG00000018610
2269	ENSG00000018625
1116	ENSG00000018699
1309	ENSG00000018869
343	ENSG00000019102
2704	ENSG00000019144
140	ENSG00000019169
1323	ENSG00000019186
8800	ENSG00000019485
5049	ENSG00000019505
1203	ENSG00000019549
1666	ENSG00000019582
7111	ENSG00000019991
3197	ENSG00000019995
1521	ENSG00000020129
2541	ENSG00000020181
2236	ENSG00000020256
1604	ENSG00000020426
4371	ENSG00000020577
2611	ENSG00000020633
4944	ENSG00000020922
1217	ENSG00000021300
1276	ENSG00000021355
1427	ENSG00000021461
1722	ENSG00000021488
4681	ENSG00000021574
7884	ENSG00000021645
2528	ENSG00000021762
8230	ENSG00000021776
1122	ENSG00000021826
194	ENSG00000021852
1405	ENSG00000022267
1357	ENSG00000022277
3808	ENSG00000022355
1330	ENSG00000022556
5025	ENSG00000022567
2006	ENSG00000022840
1718	ENSG00000022976
1713	ENSG00000023041
5431	ENSG00000023171
1465	ENSG00000023191
9566	ENSG00000023228
2009	ENSG00000023287
3433	ENSG00000023318
147	ENSG00000023330
2301	ENSG00000023445
4039	ENSG00000023516
5066	ENSG00000023572
1445	ENSG00000023608
1488	ENSG00000023697
1270	ENSG00000023734
1311	ENSG00000023839
361	ENSG00000023892
542	ENSG00000023902
3785	ENSG00000023909
3176	ENSG00000024048
2147	ENSG00000024422
3433	ENSG00000024526
516	ENSG00000024862
3420	ENSG00000025039
899	ENSG00000025156
2902	ENSG00000025293
448	ENSG00000025423
757	ENSG00000025434
18	ENSG00000025708
1122	ENSG00000025770
979	ENSG00000025772
4186	ENSG00000025796
6702	ENSG00000025800
1350	ENSG00000026025
2363	ENSG00000026036
1837	ENSG00000026103
1258	ENSG00000026297
5086	ENSG00000026508
383	ENSG00000026559
7884	ENSG00000026652
1657	ENSG00000026751
2240	ENSG00000026950
159	ENSG00000027001
1145	ENSG00000027075
810	ENSG00000027644
2044	ENSG00000027697
1318	ENSG00000027847
334	ENSG00000027869
1751	ENSG00000028116
2208	ENSG00000028137
5695	ENSG00000028203
7193	ENSG00000028277
3219	ENSG00000028310
8526	ENSG00000028528
3433	ENSG00000028839
4825	ENSG00000029153
5924	ENSG00000029363
4581	ENSG00000029364
2929	ENSG00000029534
525	ENSG00000029559
327	ENSG00000029639
2869	ENSG00000029725
2861	ENSG00000029993
4165	ENSG00000030066
1450	ENSG00000030110
668	ENSG00000030304
9787	ENSG00000030419
695	ENSG00000030582
2265	ENSG00000031003
4450	ENSG00000031081
832	ENSG00000031691
260	ENSG00000031698
3527	ENSG00000031823
2273	ENSG00000032219
2026	ENSG00000032389
202	ENSG00000032444
1747	ENSG00000032742
2002	ENSG00000033011
1897	ENSG00000033030
1564	ENSG00000033050
556	ENSG00000033100
4179	ENSG00000033122
2088	ENSG00000033170
7019	ENSG00000033178
3975	ENSG00000033327
1916	ENSG00000033627
6984	ENSG00000033800
5872	ENSG00000033867
1182	ENSG00000034053
2257	ENSG00000034152
3574	ENSG00000034239
252	ENSG00000034510
1089	ENSG00000034533
1496	ENSG00000034677
784	ENSG00000034693
756	ENSG00000034713
1361	ENSG00000034971
4185	ENSG00000035115
1609	ENSG00000035141
6233	ENSG00000035403
2293	ENSG00000035499
11350	ENSG00000035664
1097	ENSG00000035681
1092	ENSG00000035687
685	ENSG00000035720
4350	ENSG00000035862
1935	ENSG00000035928
1583	ENSG00000036054
4735	ENSG00000036257
475	ENSG00000036448
1168	ENSG00000036473
7432	ENSG00000036530
1140	ENSG00000036549
1430	ENSG00000036565
1620	ENSG00000036672
6438	ENSG00000036828
206	ENSG00000037042
230	ENSG00000037241
4841	ENSG00000037280
2297	ENSG00000037474
3831	ENSG00000037637
1320	ENSG00000037749
2001	ENSG00000037757
1371	ENSG00000037897
981	ENSG00000037965
938	ENSG00000038002
1905	ENSG00000038210
5244	ENSG00000038219
2720	ENSG00000038274
6484	ENSG00000038295
355	ENSG00000038358
4063	ENSG00000038382
2390	ENSG00000038427
4940	ENSG00000038532
4625	ENSG00000038945
3634	ENSG00000039068
5165	ENSG00000039123
1653	ENSG00000039139
2919	ENSG00000039319
647	ENSG00000039523
591	ENSG00000039537
3074	ENSG00000039560
924	ENSG00000039600
1604	ENSG00000039650
788	ENSG00000039987
5085	ENSG00000040199
2528	ENSG00000040275
5841	ENSG00000040341
1659	ENSG00000040487
1500	ENSG00000040531
296	ENSG00000040608
971	ENSG00000040633
1482	ENSG00000040731
6847	ENSG00000040933
6103	ENSG00000041353
3612	ENSG00000041357
1799	ENSG00000041515
1498	ENSG00000041802
1853	ENSG00000041880
1579	ENSG00000041982
2440	ENSG00000041988
1124	ENSG00000042062
3533	ENSG00000042088
3305	ENSG00000042286
1817	ENSG00000042317
7503	ENSG00000042429
1962	ENSG00000042445
145	ENSG00000042493
311	ENSG00000042753
4179	ENSG00000042781
312	ENSG00000042813
5190	ENSG00000042832
7262	ENSG00000042980
877	ENSG00000043039
7540	ENSG00000043093
4901	ENSG00000043143
1091	ENSG00000043355
2460	ENSG00000043462
1877	ENSG00000043514
1342	ENSG00000043591
228	ENSG00000044012
71	ENSG00000044090
3665	ENSG00000044115
1185	ENSG00000044446
4940	ENSG00000044459
3569	ENSG00000044524
1739	ENSG00000044574
2615	ENSG00000046604
634	ENSG00000046647
1624	ENSG00000046651
3513	ENSG00000046653
521	ENSG00000046774
5652	ENSG00000046889
3309	ENSG00000047056
3671	ENSG00000047188
2149	ENSG00000047230
1737	ENSG00000047249
180	ENSG00000047315
4150	ENSG00000047346
1909	ENSG00000047365
2319	ENSG00000047410
1750	ENSG00000047457
2399	ENSG00000047578
2215	ENSG00000047579
3668	ENSG00000047597
648	ENSG00000047617
2907	ENSG00000047621
1596	ENSG00000047634
2977	ENSG00000047644
2819	ENSG00000047648
3226	ENSG00000047662
4716	ENSG00000047849
2985	ENSG00000047932
579	ENSG00000047936
4018	ENSG00000048028
9049	ENSG00000048052
2611	ENSG00000048140
1003	ENSG00000048162
5667	ENSG00000048342
4228	ENSG00000048392
2166	ENSG00000048405
331	ENSG00000048462
7105	ENSG00000048471
3432	ENSG00000048540
1488	ENSG00000048544
653	ENSG00000048545
6921	ENSG00000048649
4814	ENSG00000048707
9232	ENSG00000048740
3453	ENSG00000048828
978	ENSG00000048991
695	ENSG00000049089
5249	ENSG00000049130
2489	ENSG00000049167
5726	ENSG00000049192
6468	ENSG00000049239
1787	ENSG00000049245
2528	ENSG00000049246
1012	ENSG00000049247
5478	ENSG00000049249
3176	ENSG00000049283
964	ENSG00000049323
1636	ENSG00000049449
2007	ENSG00000049540
1865	ENSG00000049541
20616	ENSG00000049618
625	ENSG00000049656
5662	ENSG00000049759
898	ENSG00000049768
1023	ENSG00000049769
559	ENSG00000049860
11583	ENSG00000049883
6664	ENSG00000050030
1765	ENSG00000050130
1358	ENSG00000050165
576	ENSG00000050327
1384	ENSG00000050344
5144	ENSG00000050393
2448	ENSG00000050405
1977	ENSG00000050426
8775	ENSG00000050438
2686	ENSG00000050555
7602	ENSG00000050628
1691	ENSG00000050730
5841	ENSG00000050748
1080	ENSG00000050767
4614	ENSG00000050820
670	ENSG00000051009
2275	ENSG00000051108
242	ENSG00000051128
1951	ENSG00000051180
877	ENSG00000051341
5487	ENSG00000051382
1426	ENSG00000051523
2503	ENSG00000051596
9418	ENSG00000051620
7129	ENSG00000051825
5654	ENSG00000052126
576	ENSG00000052344
4792	ENSG00000052723
531	ENSG00000052749
3505	ENSG00000052795
1475	ENSG00000052802
2506	ENSG00000052841
4410	ENSG00000052850
2640	ENSG00000053108
6923	ENSG00000053254
18	ENSG00000053328
629	ENSG00000053371
1298	ENSG00000053372
934	ENSG00000053438
1965	ENSG00000053501
2700	ENSG00000053524
1859	ENSG00000053702
1666	ENSG00000053747
10485	ENSG00000053770
393	ENSG00000053900
1549	ENSG00000053918
748	ENSG00000054116
1340	ENSG00000054118
233	ENSG00000054148
559	ENSG00000054179
1689	ENSG00000054219
3637	ENSG00000054267
1888	ENSG00000054277
1711	ENSG00000054282
1048	ENSG00000054356
4249	ENSG00000054392
8966	ENSG00000054523
1790	ENSG00000054598
3131	ENSG00000054611
3582	ENSG00000054654
3337	ENSG00000054690
4697	ENSG00000054793
761	ENSG00000054796
1117	ENSG00000054803
840	ENSG00000054938
6276	ENSG00000054965
2296	ENSG00000054967
4242	ENSG00000054983
622	ENSG00000055044
3295	ENSG00000055070
404	ENSG00000055118
454	ENSG00000055130
2848	ENSG00000055147
3426	ENSG00000055163
2575	ENSG00000055208
1095	ENSG00000055211
8063	ENSG00000055332
4066	ENSG00000055483
16025	ENSG00000055609
3329	ENSG00000055732
1818	ENSG00000055813
3524	ENSG00000055917
2747	ENSG00000055950
446	ENSG00000055955
663	ENSG00000055957
113	ENSG00000056050
1891	ENSG00000056097
2266	ENSG00000056277
1090	ENSG00000056291
1924	ENSG00000056487
2627	ENSG00000056558
8789	ENSG00000056586
492	ENSG00000056736
2951	ENSG00000056972
1607	ENSG00000056998
3431	ENSG00000057019
460	ENSG00000057149
5039	ENSG00000057252
3132	ENSG00000057294
351	ENSG00000057468
2009	ENSG00000057593
848	ENSG00000057608
2453	ENSG00000057657
4208	ENSG00000057663
4311	ENSG00000057704
856	ENSG00000057757
4891	ENSG00000057935
5541	ENSG00000058056
6008	ENSG00000058063
2362	ENSG00000058085
3802	ENSG00000058091
2020	ENSG00000058262
2824	ENSG00000058272
2197	ENSG00000058335
3659	ENSG00000058404
533	ENSG00000058453
3445	ENSG00000058600
4810	ENSG00000058668
4293	ENSG00000058673
3235	ENSG00000058729
611	ENSG00000058799
2510	ENSG00000058804
2889	ENSG00000058866
2717	ENSG00000059122
4848	ENSG00000059145
2550	ENSG00000059377
2010	ENSG00000059378
833	ENSG00000059573
264	ENSG00000059588
2730	ENSG00000059691
5103	ENSG00000059728
2327	ENSG00000059758
2104	ENSG00000059769
2472	ENSG00000059804
583	ENSG00000059915
2952	ENSG00000060069
1008	ENSG00000060138
1205	ENSG00000060140
2930	ENSG00000060237
4201	ENSG00000060339
351	ENSG00000060491
1381	ENSG00000060558
1350	ENSG00000060566
1178	ENSG00000060642
1152	ENSG00000060656
504	ENSG00000060688
6472	ENSG00000060709
5132	ENSG00000060718
3972	ENSG00000060749
510	ENSG00000060762
1714	ENSG00000060971
7986	ENSG00000060982
3396	ENSG00000061273
3557	ENSG00000061337
7544	ENSG00000061455
743	ENSG00000061492
27	ENSG00000061656
16587	ENSG00000061676
1732	ENSG00000061794
1182	ENSG00000061918
2379	ENSG00000061936
2194	ENSG00000061938
13111	ENSG00000061987
4294	ENSG00000062038
170	ENSG00000062096
1927	ENSG00000062194
1027	ENSG00000062282
1164	ENSG00000062370
2659	ENSG00000062485
358	ENSG00000062524
141	ENSG00000062582
3337	ENSG00000062598
2287	ENSG00000062650
2010	ENSG00000062716
5766	ENSG00000062725
1030	ENSG00000062822
2315	ENSG00000063015
3069	ENSG00000063046
1279	ENSG00000063127
862	ENSG00000063169
2448	ENSG00000063176
773	ENSG00000063177
237	ENSG00000063180
323	ENSG00000063241
1799	ENSG00000063244
14245	ENSG00000063245
3347	ENSG00000063322
3466	ENSG00000063438
415	ENSG00000063515
5153	ENSG00000063587
2881	ENSG00000063601
1788	ENSG00000063660
1400	ENSG00000063761
1914	ENSG00000063854
2932	ENSG00000063978
2071	ENSG00000064012
3709	ENSG00000064042
316	ENSG00000064102
1722	ENSG00000064115
1512	ENSG00000064195
3072	ENSG00000064199
892	ENSG00000064201
504	ENSG00000064205
726	ENSG00000064218
3684	ENSG00000064225
650	ENSG00000064270
2008	ENSG00000064300
6160	ENSG00000064309
1649	ENSG00000064313
11558	ENSG00000064393
1238	ENSG00000064419
1476	ENSG00000064489
251	ENSG00000064490
1854	ENSG00000064545
588	ENSG00000064547
1455	ENSG00000064601
6572	ENSG00000064607
3309	ENSG00000064651
2132	ENSG00000064652
711	ENSG00000064655
1685	ENSG00000064666
762	ENSG00000064687
2494	ENSG00000064692
1937	ENSG00000064703
2522	ENSG00000064726
2786	ENSG00000064763
6062	ENSG00000064787
627	ENSG00000064835
494	ENSG00000064886
584	ENSG00000064932
3734	ENSG00000064933
771	ENSG00000064961
3055	ENSG00000064989
886	ENSG00000064995
2804	ENSG00000064999
1581	ENSG00000065000
3696	ENSG00000065029
1240	ENSG00000065054
637	ENSG00000065057
5343	ENSG00000065060
25999	ENSG00000065135
2786	ENSG00000065150
639	ENSG00000065154
7912	ENSG00000065183
3411	ENSG00000065243
1400	ENSG00000065268
5795	ENSG00000065308
4270	ENSG00000065320
4561	ENSG00000065325
1944	ENSG00000065328
2121	ENSG00000065357
3533	ENSG00000065361
2264	ENSG00000065371
6672	ENSG00000065413
2087	ENSG00000065427
2911	ENSG00000065457
1231	ENSG00000065485
1798	ENSG00000065491
1467	ENSG00000065518
1033	ENSG00000065526
9380	ENSG00000065534
1673	ENSG00000065548
3541	ENSG00000065559
1284	ENSG00000065600
4501	ENSG00000065609
3513	ENSG00000065613
7755	ENSG00000065615
1238	ENSG00000065618
5661	ENSG00000065621
2209	ENSG00000065665
1064	ENSG00000065675
286	ENSG00000065717
6419	ENSG00000065802
3212	ENSG00000065809
1535	ENSG00000065833
2627	ENSG00000065882
10735	ENSG00000065883
4077	ENSG00000065911
7700	ENSG00000065923
3260	ENSG00000065970
400	ENSG00000065978
3115	ENSG00000065989
1093	ENSG00000066027
1122	ENSG00000066032
5117	ENSG00000066044
386	ENSG00000066056
6893	ENSG00000066084
1712	ENSG00000066117
1971	ENSG00000066135
775	ENSG00000066136
1056	ENSG00000066185
2575	ENSG00000066230
1120	ENSG00000066248
196	ENSG00000066279
7231	ENSG00000066294
519	ENSG00000066322
1042	ENSG00000066336
212	ENSG00000066379
6422	ENSG00000066382
2741	ENSG00000066405
3540	ENSG00000066422
7262	ENSG00000066427
573	ENSG00000066455
4000	ENSG00000066468
995	ENSG00000066557
1027	ENSG00000066583
2859	ENSG00000066629
1797	ENSG00000066651
5222	ENSG00000066654
901	ENSG00000066697
1104	ENSG00000066735
6553	ENSG00000066739
3586	ENSG00000066777
1958	ENSG00000066813
4623	ENSG00000066827
2155	ENSG00000066855
2909	ENSG00000066923
3541	ENSG00000066926
6964	ENSG00000066933
2356	ENSG00000067048
365	ENSG00000067057
2035	ENSG00000067064
2553	ENSG00000067066
4701	ENSG00000067082
668	ENSG00000067113
2510	ENSG00000067141
1490	ENSG00000067167
2188	ENSG00000067177
2185	ENSG00000067182
2972	ENSG00000067191
4960	ENSG00000067208
5014	ENSG00000067221
1915	ENSG00000067225
243	ENSG00000067248
3894	ENSG00000067334
4710	ENSG00000067365
7729	ENSG00000067369
459	ENSG00000067445
6892	ENSG00000067533
1252	ENSG00000067560
2792	ENSG00000067596
1061	ENSG00000067606
2513	ENSG00000067646
406	ENSG00000067704
2884	ENSG00000067715
2491	ENSG00000067798
585	ENSG00000067829
1347	ENSG00000067836
1628	ENSG00000067840
3131	ENSG00000067842
5462	ENSG00000067900
2326	ENSG00000067955
1026	ENSG00000067992
339	ENSG00000068001
4929	ENSG00000068024
1436	ENSG00000068028
3087	ENSG00000068078
157	ENSG00000068079
3455	ENSG00000068097
307	ENSG00000068120
452	ENSG00000068137
3695	ENSG00000068305
1146	ENSG00000068308
2765	ENSG00000068323
2154	ENSG00000068354
2915	ENSG00000068366
1471	ENSG00000068383
232	ENSG00000068394
757	ENSG00000068400
638	ENSG00000068438
2254	ENSG00000068489
3622	ENSG00000068615
6909	ENSG00000068650
7630	ENSG00000068654
555	ENSG00000068697
4540	ENSG00000068724
1721	ENSG00000068745
363	ENSG00000068781
630	ENSG00000068784
814	ENSG00000068796
1939	ENSG00000068831
5176	ENSG00000068878
2585	ENSG00000068885
1639	ENSG00000068903
850	ENSG00000068912
629	ENSG00000068971
270	ENSG00000068976
91	ENSG00000068985
1044	ENSG00000069011
1577	ENSG00000069018
3985	ENSG00000069020
1480	ENSG00000069122
4203	ENSG00000069188
1813	ENSG00000069206
1644	ENSG00000069248
5461	ENSG00000069275
7566	ENSG00000069329
2849	ENSG00000069345
429	ENSG00000069399
3963	ENSG00000069424
6127	ENSG00000069431
188	ENSG00000069482
6230	ENSG00000069493
559	ENSG00000069509
855	ENSG00000069535
10107	ENSG00000069667
103	ENSG00000069696
6173	ENSG00000069702
209	ENSG00000069764
4776	ENSG00000069812
1662	ENSG00000069849
5395	ENSG00000069869
1450	ENSG00000069943
2372	ENSG00000069956
8718	ENSG00000069966
2541	ENSG00000069974
510	ENSG00000069998
830	ENSG00000070010
5405	ENSG00000070018
485	ENSG00000070019
744	ENSG00000070047
1800	ENSG00000070061
2697	ENSG00000070081
2103	ENSG00000070087
4200	ENSG00000070159
3281	ENSG00000070182
2082	ENSG00000070190
1451	ENSG00000070193
9166	ENSG00000070214
4110	ENSG00000070269
1649	ENSG00000070366
10063	ENSG00000070367
2123	ENSG00000070371
767	ENSG00000070388
1691	ENSG00000070404
2583	ENSG00000070413
1373	ENSG00000070423
2953	ENSG00000070444
1585	ENSG00000070476
4467	ENSG00000070495
1038	ENSG00000070501
2530	ENSG00000070526
1139	ENSG00000070540
135	ENSG00000070601
771	ENSG00000070610
4879	ENSG00000070614
695	ENSG00000070669
3247	ENSG00000070718
2492	ENSG00000070729
1762	ENSG00000070731
2154	ENSG00000070748
1600	ENSG00000070756
957	ENSG00000070759
437	ENSG00000070761
4967	ENSG00000070770
5821	ENSG00000070778
1171	ENSG00000070785
3219	ENSG00000070808
2090	ENSG00000070814
2201	ENSG00000070831
4778	ENSG00000070882
2095	ENSG00000070886
2445	ENSG00000070915
5514	ENSG00000070950
3221	ENSG00000070961
422	ENSG00000070985
1267	ENSG00000071051
3440	ENSG00000071054
6719	ENSG00000071073
4459	ENSG00000071082
1039	ENSG00000071127
11974	ENSG00000071189
306	ENSG00000071203
699	ENSG00000071205
3398	ENSG00000071242
4573	ENSG00000071243
4351	ENSG00000071246
8295	ENSG00000071282
3669	ENSG00000071462
6059	ENSG00000071537
1017	ENSG00000071539
4116	ENSG00000071553
2945	ENSG00000071564
1941	ENSG00000071575
951	ENSG00000071626
5181	ENSG00000071655
2093	ENSG00000071794
222	ENSG00000071859
1512	ENSG00000071889
199	ENSG00000071894
2219	ENSG00000071909
3484	ENSG00000071967
4766	ENSG00000071991
5018	ENSG00000071994
5271	ENSG00000072041
2169	ENSG00000072042
1722	ENSG00000072062
3130	ENSG00000072071
300	ENSG00000072080
716	ENSG00000072110
8557	ENSG00000072121
5931	ENSG00000072133
2648	ENSG00000072134
2781	ENSG00000072135
1136	ENSG00000072163
726	ENSG00000072182
2739	ENSG00000072195
1606	ENSG00000072201
3289	ENSG00000072210
2859	ENSG00000072274
4027	ENSG00000072310
1998	ENSG00000072315
5961	ENSG00000072364
1988	ENSG00000072401
3304	ENSG00000072415
2044	ENSG00000072422
6600	ENSG00000072501
313	ENSG00000072506
1782	ENSG00000072518
